id,date,bedrooms,bathrooms,sqft_living,sqft_above,grade,price
7129300520,20141013T000000,3,1.0,1180,1180,7,221900.0
6414100192,20141209T000000,3,2.25,2570,2170,7,538000.0
5631500400,20150225T000000,2,1.0,770,770,6,180000.0
2487200875,20141209T000000,4,3.0,1960,1050,7,604000.0
1954400510,20150218T000000,3,2.0,1680,1680,8,510000.0
7237550310,20140512T000000,4,4.5,5420,3890,11,1225000.0
1321400060,20140627T000000,3,2.25,1715,1715,7,257500.0
2008000270,20150115T000000,3,1.5,1060,1060,7,291850.0
2414600126,20150415T000000,3,1.0,1780,1050,7,229500.0
3793500160,20150312T000000,3,2.5,1890,1890,7,323000.0
1736800520,20150403T000000,3,2.5,3560,1860,8,662500.0
9212900260,20140527T000000,2,1.0,1160,860,7,468000.0
114101516,20140528T000000,3,1.0,1430,1430,7,310000.0
6054650070,20141007T000000,3,1.75,1370,1370,7,400000.0
1175000570,20150312T000000,5,2.0,1810,1810,7,530000.0
9297300055,20150124T000000,4,3.0,2950,1980,9,650000.0
1875500060,20140731T000000,3,2.0,1890,1890,7,395000.0
6865200140,20140529T000000,4,1.0,1600,1600,7,485000.0
16000397,20141205T000000,2,1.0,1200,1200,7,189000.0
7983200060,20150424T000000,3,1.0,1250,1250,7,230000.0
6300500875,20140514T000000,4,1.75,1620,860,7,385000.0
2524049179,20140826T000000,3,2.75,3050,2330,9,2000000.0
7137970340,20140703T000000,5,2.5,2270,2270,8,285000.0
8091400200,20140516T000000,2,1.5,1070,1070,7,252700.0
3814700200,20141120T000000,3,2.25,2450,2450,8,329000.0
1202000200,20141103T000000,3,2.0,1710,1710,6,233000.0
1794500383,20140626T000000,3,1.75,2450,1750,8,937000.0
3303700376,20141201T000000,3,1.0,1400,1400,8,667000.0
5101402488,20140624T000000,3,1.75,1520,790,7,438000.0
1873100390,20150302T000000,4,2.5,2570,2570,8,719000.0
8562750320,20141110T000000,3,2.5,2320,2320,8,580500.0
2426039314,20141201T000000,2,1.5,1190,1190,7,280000.0
461000390,20140624T000000,4,1.75,2330,1510,7,687500.0
7589200193,20141110T000000,3,1.0,1090,1090,8,535000.0
7955080270,20141203T000000,4,2.75,2060,1280,7,322500.0
